playerID,yearID,gameNumber,teamID,leagueID,playedInGame,startingPosition
stalege01,1960,1,CHA,AL,0,
stalege01,1960,2,CHA,AL,1,
stigmdi01,1960,1,CLE,AL,0,
stigmdi01,1960,2,CLE,AL,0,
willite01,1960,1,BOS,AL,1,
willite01,1960,2,BOS,AL,1,
wynnea01,1960,1,CHA,AL,0,
wynnea01,1960,2,CHA,AL,1,
frienbo01,1960,1,PIT,NL,1,1.0
lawve01,1960,2,PIT,NL,1,1.0
crandde01,1960,1,MLN,NL,1,2.0
crandde01,1960,2,MLN,NL,1,2.0
adcocjo01,1960,1,MLN,NL,1,3.0
adcocjo01,1960,2,MLN,NL,1,3.0
mazerbi01,1960,1,PIT,NL,1,4.0
mazerbi01,1960,2,PIT,NL,1,4.0
matheed01,1960,1,MLN,NL,1,5.0
matheed01,1960,2,MLN,NL,1,5.0
bankser01,1960,1,CHN,NL,1,6.0
bankser01,1960,2,CHN,NL,1,6.0
skinnbo01,1960,1,PIT,NL,1,7.0
skinnbo01,1960,2,PIT,NL,1,7.0
mayswi01,1960,1,SFN,NL,1,8.0
mayswi01,1960,2,SFN,NL,1,8.0
aaronha01,1960,1,MLN,NL,1,9.0
aaronha01,1960,2,MLN,NL,1,9.0
baileed01,1960,1,CIN,NL,0,
baileed01,1960,2,CIN,NL,1,
boyerke01,1960,1,SLN,NL,1,
boyerke01,1960,2,SLN,NL,1,
buhlbo01,1960,2,MLN,NL,0,
buhlbo01,1960,1,MLN,NL,1,
burgesm01,1960,1,PIT,NL,1,
burgesm01,1960,2,PIT,NL,1,
cepedor01,1960,1,SFN,NL,1,
cepedor01,1960,2,SFN,NL,1,
clemero01,1960,1,PIT,NL,1,
clemero01,1960,2,PIT,NL,1,
facero01,1960,2,PIT,NL,0,
facero01,1960,1,PIT,NL,1,
frienbo01,1960,2,PIT,NL,0,
groatdi01,1960,1,PIT,NL,1,
groatdi01,1960,2,PIT,NL,1,
henrybi01,1960,1,CIN,NL,0,
henrybi01,1960,2,CIN,NL,1,
jacksla01,1960,1,SLN,NL,0,
jacksla01,1960,2,SLN,NL,1,
larkeno01,1960,1,LAN,NL,1,
larkeno01,1960,2,LAN,NL,1,
lawve01,1960,1,PIT,NL,1,
mccormi03,1960,2,SFN,NL,0,
mccormi03,1960,1,SFN,NL,1,
mcdanli01,1960,1,SLN,NL,0,
mcdanli01,1960,2,SLN,NL,1,
musiast01,1960,1,SLN,NL,1,
musiast01,1960,2,SLN,NL,1,
nealch01,1960,1,LAN,NL,1,
nealch01,1960,2,LAN,NL,1,
pinsova01,1960,1,CIN,NL,1,
pinsova01,1960,2,CIN,NL,1,
podrejo01,1960,1,LAN,NL,0,
podrejo01,1960,2,LAN,NL,1,
tayloto02,1960,1,PHI,NL,1,
tayloto02,1960,2,PHI,NL,1,
whitebi03,1960,1,SLN,NL,1,
whitebi03,1960,2,SLN,NL,1,
willist02,1960,1,LAN,NL,0,
willist02,1960,2,LAN,NL,1,
bunniji01,1961,2,DET,AL,1,1.0
fordwh01,1961,1,NYA,AL,1,1.0
romanjo01,1961,1,CLE,AL,1,2.0
romanjo01,1961,2,CLE,AL,1,2.0
cashno01,1961,1,DET,AL,1,3.0
cashno01,1961,2,DET,AL,1,3.0
templjo01,1961,1,CLE,AL,1,4.0
templjo01,1961,2,CLE,AL,1,4.0
robinbr01,1961,1,BAL,AL,1,5.0
robinbr01,1961,2,BAL,AL,1,5.0
aparilu01,1961,2,CHA,AL,1,6.0
kubekto01,1961,1,NYA,AL,1,6.0
colavro01,1961,1,DET,AL,1,7.0
colavro01,1961,2,DET,AL,1,7.0
mantlmi01,1961,1,NYA,AL,1,8.0
mantlmi01,1961,2,NYA,AL,1,8.0
kalinal01,1961,2,DET,AL,1,9.0
marisro01,1961,1,NYA,AL,1,9.0
arroylu01,1961,2,NYA,AL,0,
berrayo01,1961,2,NYA,AL,0,
berrayo01,1961,1,NYA,AL,1,
brandja01,1961,2,BAL,AL,0,
brandja01,1961,1,BAL,AL,1,
bunniji01,1961,1,DET,AL,1,
donovdi01,1961,2,WS2,AL,0,
donovdi01,1961,1,WS2,AL,1,
durenry01,1961,1,LAA,AL,0,
fordwh01,1961,2,NYA,AL,0,
fornimi01,1961,1,BOS,AL,1,
foxne01,1961,2,CHA,AL,0,
foxne01,1961,1,CHA,AL,1,
francti01,1961,2,CLE,AL,0,
gentiji01,1961,2,BAL,AL,0,
gentiji01,1961,1,BAL,AL,1,
howarel01,1961,1,NYA,AL,1,
howarel01,1961,2,NYA,AL,1,
howsedi01,1961,2,KC1,AL,0,
howsedi01,1961,1,KC1,AL,1,
kalinal01,1961,1,DET,AL,1,
killeha01,1961,2,MIN,AL,0,
killeha01,1961,1,MIN,AL,1,
kubekto01,1961,2,NYA,AL,0,
laryfr01,1961,1,DET,AL,1,
latmaba01,1961,2,CLE,AL,0,
marisro01,1961,2,NYA,AL,1,
mcbrike01,1961,2,LAA,AL,0,
pascuca02,1961,2,MIN,AL,1,
perryji01,1961,1,CLE,AL,0,
piercbi02,1961,1,CHA,AL,0,
schwado01,1961,2,BOS,AL,1,
sievero01,1961,2,CHA,AL,1,
skowrbi01,1961,2,NYA,AL,0,
wilheho01,1961,2,BAL,AL,0,
wilheho01,1961,1,BAL,AL,1,
purkebo01,1961,2,CIN,NL,1,1.0
spahnwa01,1961,1,MLN,NL,1,1.0
burgesm01,1961,1,PIT,NL,1,2.0
burgesm01,1961,2,PIT,NL,1,2.0
whitebi03,1961,1,SLN,NL,1,3.0
whitebi03,1961,2,SLN,NL,1,3.0
bollifr01,1961,1,MLN,NL,1,4.0
bollifr01,1961,2,MLN,NL,1,4.0
matheed01,1961,1,MLN,NL,1,5.0
matheed01,1961,2,MLN,NL,1,5.0
willsma01,1961,1,LAN,NL,1,6.0
willsma01,1961,2,LAN,NL,1,6.0
cepedor01,1961,1,SFN,NL,1,7.0
cepedor01,1961,2,SFN,NL,1,7.0
mayswi01,1961,1,SFN,NL,1,8.0
mayswi01,1961,2,SFN,NL,1,8.0
clemero01,1961,1,PIT,NL,1,9.0
clemero01,1961,2,PIT,NL,1,9.0
aaronha01,1961,1,MLN,NL,1,
aaronha01,1961,2,MLN,NL,1,
altmage01,1961,1,CHN,NL,1,
altmage01,1961,2,CHN,NL,1,
baileed01,1961,2,SFN,NL,0,
bankser01,1961,2,CHN,NL,1,
boyerke01,1961,2,SLN,NL,0,
boyerke01,1961,1,SLN,NL,1,
drysddo01,1961,2,LAN,NL,0,
facero01,1961,2,PIT,NL,0,
facero01,1961,1,PIT,NL,1,
jayjo01,1961,1,CIN,NL,0,
jayjo01,1961,2,CIN,NL,0,
kaskoed01,1961,1,CIN,NL,0,
kaskoed01,1961,2,CIN,NL,1,
koufasa01,1961,1,LAN,NL,1,
koufasa01,1961,2,LAN,NL,1,
mahafar01,1961,1,PHI,NL,0,
mahafar01,1961,2,PHI,NL,1,
mccormi03,1961,2,SFN,NL,0,
mccormi03,1961,1,SFN,NL,1,
millest01,1961,1,SFN,NL,1,
millest01,1961,2,SFN,NL,1,
musiast01,1961,1,SLN,NL,1,
musiast01,1961,2,SLN,NL,1,
purkebo01,1961,1,CIN,NL,1,
robinfr02,1961,2,CIN,NL,0,
robinfr02,1961,1,CIN,NL,1,
rosebjo01,1961,1,LAN,NL,0,
rosebjo01,1961,2,LAN,NL,1,
spahnwa01,1961,2,MLN,NL,0,
stuardi01,1961,1,PIT,NL,1,
stuardi01,1961,2,PIT,NL,1,
zimmedo01,1961,2,CHN,NL,0,
zimmedo01,1961,1,CHN,NL,1,
bunniji01,1962,0,DET,AL,1,1.0
stenhda01,1962,0,WS2,AL,1,1.0
batteea01,1962,0,MIN,AL,1,2.0
gentiji01,1962,0,BAL,AL,1,3.0
moranbi02,1962,0,LAA,AL,1,4.0
rolliri01,1962,0,MIN,AL,1,5.0
aparilu01,1962,0,CHA,AL,1,6.0
wagnele01,1962,0,LAA,AL,1,7.0
marisro01,1962,0,NYA,AL,1,8.0
colavro01,1962,0,DET,AL,1,9.0
mantlmi01,1962,0,NYA,AL,1,9.0
aguirha01,1962,0,DET,AL,1,
berrayo01,1962,0,NYA,AL,1,
donovdi01,1962,0,CLE,AL,1,
herbera01,1962,0,CHA,AL,1,
howarel01,1962,0,NYA,AL,1,
kaatji01,1962,0,MIN,AL,0,
kalinal01,1962,0,DET,AL,1,
landiji01,1962,0,CHA,AL,1,
mcbrike01,1962,0,LAA,AL,0,
monbobi01,1962,0,BOS,AL,0,
pappami01,1962,0,BAL,AL,1,
pascuca02,1962,0,MIN,AL,1,
richabo01,1962,0,NYA,AL,1,
robinbr01,1962,0,BAL,AL,1,
romanjo01,1962,0,CLE,AL,1,
runnepe01,1962,0,BOS,AL,1,
siebeno01,1962,0,KC1,AL,1,
terryra01,1962,0,NYA,AL,0,
thomale03,1962,0,LAA,AL,1,
treshto01,1962,0,NYA,AL,1,
wilheho01,1962,0,BAL,AL,0,
drysddo01,1962,0,LAN,NL,1,1.0
podrejo01,1962,0,LAN,NL,1,1.0
crandde01,1962,0,MLN,NL,1,2.0
cepedor01,1962,0,SFN,NL,1,3.0
mazerbi01,1962,0,PIT,NL,1,4.0
boyerke01,1962,0,SLN,NL,1,5.0
groatdi01,1962,0,PIT,NL,1,6.0
davisto02,1962,0,LAN,NL,1,7.0
mayswi01,1962,0,SFN,NL,1,8.0
clemero01,1962,0,PIT,NL,1,9.0
aaronha01,1962,0,MLN,NL,1,
aloufe01,1962,0,SFN,NL,1,
altmage01,1962,0,CHN,NL,1,
ashburi01,1962,0,NYN,NL,1,
bankser01,1962,0,CHN,NL,1,
bollifr01,1962,0,MLN,NL,1,
callijo01,1962,0,PHI,NL,1,
davenji01,1962,0,SFN,NL,1,
farretu01,1962,0,HOU,NL,1,
gibsobo01,1962,0,SLN,NL,1,
koufasa01,1962,0,LAN,NL,0,
mahafar01,1962,0,PHI,NL,1,
maricju01,1962,0,SFN,NL,1,
matheed01,1962,0,MLN,NL,1,
musiast01,1962,0,SLN,NL,1,
purkebo01,1962,0,CIN,NL,1,
robinfr02,1962,0,CIN,NL,1,
rosebjo01,1962,0,LAN,NL,1,
shawbo01,1962,0,MLN,NL,1,
spahnwa01,1962,0,MLN,NL,0,
willibi01,1962,0,CHN,NL,1,
willsma01,1962,0,LAN,NL,1,
mcbrike01,1963,0,LAA,AL,1,1.0
batteea01,1963,0,MIN,AL,1,2.0
pepitjo01,1963,0,NYA,AL,1,3.0
foxne01,1963,0,CHA,AL,1,4.0
malzofr01,1963,0,BOS,AL,1,5.0
versazo01,1963,0,MIN,AL,1,6.0
wagnele01,1963,0,LAA,AL,1,7.0
pearsal02,1963,0,LAA,AL,1,8.0
kalinal01,1963,0,DET,AL,1,9.0
allisbo01,1963,0,MIN,AL,1,
aparilu01,1963,0,BAL,AL,1,
barbest01,1963,0,BAL,AL,0,
boutoji01,1963,0,NYA,AL,1,
bunniji01,1963,0,DET,AL,1,
grantmu01,1963,0,CLE,AL,0,
howarel01,1963,0,NYA,AL,1,
killeha01,1963,0,MIN,AL,1,
leppedo02,1963,0,WS2,AL,0,
mantlmi01,1963,0,NYA,AL,0,
monbobi01,1963,0,BOS,AL,0,
pizarju01,1963,0,CHA,AL,1,
radatdi01,1963,0,BOS,AL,1,
richabo01,1963,0,NYA,AL,1,
robinbr01,1963,0,BAL,AL,1,
siebeno01,1963,0,KC1,AL,0,
treshto01,1963,0,NYA,AL,1,
yastrca01,1963,0,BOS,AL,1,
otoolji01,1963,0,CIN,NL,1,1.0
baileed01,1963,0,SFN,NL,1,2.0
whitebi03,1963,0,SLN,NL,1,3.0
javieju01,1963,0,SLN,NL,1,4.0
boyerke01,1963,0,SLN,NL,1,5.0
groatdi01,1963,0,SLN,NL,1,6.0
davisto02,1963,0,LAN,NL,1,7.0
mayswi01,1963,0,SFN,NL,1,8.0
aaronha01,1963,0,MLN,NL,1,9.0
cepedor01,1963,0,SFN,NL,0,
clemero01,1963,0,PIT,NL,1,
culpra01,1963,0,PHI,NL,1,
drysddo01,1963,0,LAN,NL,1,
edwarjo01,1963,0,CIN,NL,1,
